id,account_id,region,instance,subnet,instancetype,launchtime,statecode,statename,name
1,3,us-east-2,i-03c4c5d392bddcd55,subnet-f412a68f,t2.medium,2021-06-01T03:00:14+00:00,80,stopped,RPA
2,3,us-east-2,i-0cccf18d76f36205f,subnet-efeb8486,t2.large,2021-09-17T11:45:43+00:00,16,running,axon-pro
3,3,us-east-2,i-025439ad38ce727be,subnet-efeb8486,m4.2xlarge,2021-06-23T09:59:43+00:00,16,running,www3/eos
4,3,us-east-2,i-05f6dd651857f0340,subnet-f412a68f,t2.large,2020-02-08T05:55:18+00:00,16,running,demo3new
5,3,us-east-2,i-04fb2779ef89c0bce,subnet-f412a68f,t2.xlarge,2021-08-31T13:21:04+00:00,80,stopped,dev3
6,3,us-east-2,i-03f396c21aeb537c5,subnet-f412a68f,t2.medium,2021-06-01T03:01:52+00:00,80,stopped,rpa-new
7,3,us-east-2,i-0393e351c9d2dc929,subnet-efeb8486,t2.medium,2020-03-26T05:18:28+00:00,80,stopped,rpa-new
8,3,us-east-2,i-044cc395dfe7d5e56,subnet-f412a68f,t2.micro,2020-07-28T15:46:20+00:00,80,stopped,ftp-
9,3,us-east-2,i-050f033dd62ac9748,subnet-efeb8486,t2.small,2020-12-15T15:26:54+00:00,16,running,docker-repo
10,3,us-east-2,i-01f8a90046cfc2fa7,subnet-efeb8486,t2.large,2021-04-29T08:20:08+00:00,16,running,skyward-pro
11,3,us-east-2,i-0e9b09287780aecfb,subnet-efeb8486,t2.large,2021-05-27T04:30:39+00:00,16,running,hdo-test
12,3,us-east-2,i-0caae2fc7ca04c77f,subnet-f412a68f,t2.large,2021-11-29T03:15:04+00:00,80,stopped,buildserver new
13,3,us-east-2,i-0a01e75898f326773,subnet-e9bb7da4,t2.large,2021-08-31T13:32:04+00:00,80,stopped,crm standalone
14,3,us-east-2,i-061382e20983d9d31,subnet-f412a68f,t2.xlarge,2021-07-22T13:40:41+00:00,16,running,hubdiveonline-PRO
15,3,us-east-2,i-03c1154508ac203ad,subnet-e9bb7da4,t2.large,2021-11-24T04:58:18+00:00,16,running,arrowheadgrpstaging-50gb
16,3,us-east-2,i-0cd81c5a6b0b40032,subnet-e9bb7da4,t2.large,2021-06-15T05:04:25+00:00,16,running,Skyward-testing
17,3,us-east-2,i-01da8318c3d255165,subnet-f412a68f,t2.large,2021-07-19T04:53:41+00:00,16,running,axon-test
18,3,us-east-2,i-0d322baa94e34711a,subnet-f412a68f,t2.xlarge,2021-10-11T14:49:43+00:00,16,running,qa3_back
19,3,us-east-2,i-086ed6532ebf7faa8,subnet-e9bb7da4,t2.xlarge,2021-11-23T13:57:30+00:00,80,stopped,uat_q3
20,3,us-east-2,i-07d64aefa7a39e94a,subnet-e9bb7da4,t2.xlarge,2021-11-10T03:38:51+00:00,16,running,staging3
